id,constant,display_name,sort_name,country,continent,digits,date,date_text,date_precision,notes,source_url,category_tags,is_juggling,is_public
pi-brisman-clara-usa-301-2015-05-08,pi,"Brisman, Clara","Brisman, Clara",USA,North America,301,2015-05-08,8 May 2015,day,4 min 26 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-broshear-karly-usa-23-2016-03-14,pi,"Broshear, Karly","Broshear, Karly",USA,North America,23,2016-03-14,14 March 2016,day,10 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-brown-alex-usa-292-2019-03-14,pi,"Brown, Alex","Brown, Alex",USA,North America,292,2019-03-14,14 March 2019,day,14 min 16 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-brown-ava-usa-28-2018-03-14,pi,"Brown, Ava","Brown, Ava",USA,North America,28,2018-03-14,14 March 2018,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-brown-campbell-usa-73-2015-03-13,pi,"Brown, Campbell","Brown, Campbell",USA,North America,73,2015-03-13,13 March 2015,day,2 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-brown-douglas-south-africa-3004-2021-03-14,pi,"Brown, Douglas","Brown, Douglas",South Africa,Africa,3004,2021-03-14,14 March 2021,day,African Record 2021; 44 min 52 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-brown-kali-usa-26-2015-03-13,pi,"Brown, Kali","Brown, Kali",USA,North America,26,2015-03-13,13 March 2015,day,1 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-brown-lawrence-usa-126-2012-03-14,pi,"Brown, Lawrence","Brown, Lawrence",USA,North America,126,2012-03-14,14 March 2012,day,1 min 12 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-brown-lily-united-kingdom-35-2025-03-14,pi,"Brown, Lily","Brown, Lily",United Kingdom,Europe,35,2025-03-14,14 March 2025,day,2 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-brown-madison-usa-62-2015-03-13,pi,"Brown, Madison","Brown, Madison",USA,North America,62,2015-03-13,13 March 2015,day,1 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-brown-matthew-usa-21-2018-03-13,pi,"Brown, Matthew","Brown, Matthew",USA,North America,21,2018-03-13,13 March 2018,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-brown-noah-usa-104-2023-03-14,pi,"Brown, Noah","Brown, Noah",USA,North America,104,2023-03-14,14 March 2023,day,58 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
